HouseID,Address,Street,kilowattsPerHourPerMonth,gallonsPerDayPerHouse
6117,56 ABERDEEN AVENUE,ABERDEEN AVENUE,603,243
6330,61 ABERDEEN AVENUE,ABERDEEN AVENUE,618,265
10226,8 ABERDEEN AVENUE,ABERDEEN AVENUE,626,171
9919,9 ABERDEEN AVENUE,ABERDEEN AVENUE,595,245
5527,10 ACORN STREET,ACORN STREET,674,111
5526,8 ACORN STREET,ACORN STREET,687,141
696,5 ADAMS AVENUE,ADAMS AVENUE,658,229
552,6 ADAMS AVENUE,ADAMS AVENUE,655,277
551,8 ADAMS AVENUE,ADAMS AVENUE,617,295
5040,104 ADAMS STREET,ADAMS STREET,627,190
5642,105 ADAMS STREET,ADAMS STREET,559,80
5006,107 ADAMS STREET,ADAMS STREET,632,81
2356,119 ADAMS STREET,ADAMS STREET,550,254
2357,121 ADAMS STREET,ADAMS STREET,690,163
2058,122 ADAMS STREET,ADAMS STREET,582,211
2377,123 ADAMS STREET,ADAMS STREET,634,153
2057,124 ADAMS STREET,ADAMS STREET,594,290
2124,127 ADAMS STREET,ADAMS STREET,686,103
2118,128 ADAMS STREET,ADAMS STREET,583,196
2117,130 ADAMS STREET,ADAMS STREET,652,139
2154,131 ADAMS STREET,ADAMS STREET,644,115
2331,132 ADAMS STREET,ADAMS STREET,636,273
2156,133 ADAMS STREET,ADAMS STREET,628,211
2499,139 ADAMS STREET,ADAMS STREET,643,205
3689,143 ADAMS STREET,ADAMS STREET,551,127
3499,145 ADAMS STREET,ADAMS STREET,615,264
3300,146 ADAMS STREET,ADAMS STREET,581,283
3578,147 ADAMS STREET,ADAMS STREET,694,135
3337,148 ADAMS STREET,ADAMS STREET,617,129
3576,149 ADAMS STREET,ADAMS STREET,657,138
3577,151 ADAMS STREET,ADAMS STREET,687,194
3870,153 ADAMS STREET,ADAMS STREET,666,265
4414,154 ADAMS STREET,ADAMS STREET,556,115
3213,155 ADAMS STREET,ADAMS STREET,600,207
4415,156 ADAMS STREET,ADAMS STREET,582,223
3977,165 ADAMS STREET,ADAMS STREET,640,267
3976,167 ADAMS STREET,ADAMS STREET,566,152
1974,168 ADAMS STREET,ADAMS STREET,665,203
1092,169 ADAMS STREET,ADAMS STREET,583,299
933,172 ADAMS STREET,ADAMS STREET,614,69
934,173 ADAMS STREET,ADAMS STREET,692,280
1088,174 ADAMS STREET,ADAMS STREET,647,242
1795,177 ADAMS STREET,ADAMS STREET,584,252
1794,179 ADAMS STREET,ADAMS STREET,594,75
1580,183 ADAMS STREET,ADAMS STREET,604,157
1581,185 ADAMS STREET,ADAMS STREET,567,141
1370,187 ADAMS STREET,ADAMS STREET,644,183
1000,188 ADAMS STREET,ADAMS STREET,693,154
1001,190 ADAMS STREET,ADAMS STREET,693,84
2028,191 ADAMS STREET,ADAMS STREET,677,152
2935,192 ADAMS STREET,ADAMS STREET,550,131
921,193 ADAMS STREET,ADAMS STREET,650,96
2937,194 ADAMS STREET,ADAMS STREET,647,255
920,195 ADAMS STREET,ADAMS STREET,674,257
1196,196 ADAMS STREET,ADAMS STREET,691,230
911,197 ADAMS STREET,ADAMS STREET,596,122
1195,198 ADAMS STREET,ADAMS STREET,685,211
910,199 ADAMS STREET,ADAMS STREET,700,233
5877,20 ADAMS STREET,ADAMS STREET,590,241
1082,205 ADAMS STREET,ADAMS STREET,615,87
1348,206 ADAMS STREET,ADAMS STREET,611,86
1083,207 ADAMS STREET,ADAMS STREET,684,110
1130,210 ADAMS STREET,ADAMS STREET,606,86
940,211 ADAMS STREET,ADAMS STREET,686,162
1135,212 ADAMS STREET,ADAMS STREET,636,91
941,213 ADAMS STREET,ADAMS STREET,622,90
1129,214 ADAMS STREET,ADAMS STREET,640,216
3127,215 ADAMS STREET,ADAMS STREET,624,96
1133,216 ADAMS STREET,ADAMS STREET,668,111
1202,218 ADAMS STREET,ADAMS STREET,644,246
5876,22 ADAMS STREET,ADAMS STREET,675,150
1385,221 ADAMS STREET,ADAMS STREET,573,231
2931,225 ADAMS STREET,ADAMS STREET,684,147
6847,23 ADAMS STREET,ADAMS STREET,662,241
6598,24 ADAMS STREET,ADAMS STREET,603,214
6846,25 ADAMS STREET,ADAMS STREET,676,115
6599,26 ADAMS STREET,ADAMS STREET,592,81
6937,28 ADAMS STREET,ADAMS STREET,665,102
6873,29 ADAMS STREET,ADAMS STREET,634,256
6874,31 ADAMS STREET,ADAMS STREET,642,72
6923,31A ADAMS STREET,ADAMS STREET,618,119
6783,32 ADAMS STREET,ADAMS STREET,560,177
6582,33 ADAMS STREET,ADAMS STREET,660,196
6785,34 ADAMS STREET,ADAMS STREET,652,74
4504,4 ADAMS STREET,ADAMS STREET,578,266
3928,42 ADAMS STREET,ADAMS STREET,685,158
4294,46 ADAMS STREET,ADAMS STREET,562,198
4562,47 ADAMS STREET,ADAMS STREET,662,235
4293,48 ADAMS STREET,ADAMS STREET,679,187
4561,49 ADAMS STREET,ADAMS STREET,676,62
4405,50 ADAMS STREET,ADAMS STREET,568,189
4564,51 ADAMS STREET,ADAMS STREET,569,206
4267,52 ADAMS STREET,ADAMS STREET,592,214
4757,57 ADAMS STREET,ADAMS STREET,675,294
4877,58 ADAMS STREET,ADAMS STREET,626,226
4724,61 ADAMS STREET,ADAMS STREET,666,155
4673,62 ADAMS STREET,ADAMS STREET,688,149
4803,67 ADAMS STREET,ADAMS STREET,560,265
3619,68 ADAMS STREET,ADAMS STREET,677,176
5222,70 ADAMS STREET,ADAMS STREET,633,246
5221,72 ADAMS STREET,ADAMS STREET,572,279
3508,73 ADAMS STREET,ADAMS STREET,691,241
3776,74 ADAMS STREET,ADAMS STREET,575,292
3507,75 ADAMS STREET,ADAMS STREET,624,250
3458,78 ADAMS STREET,ADAMS STREET,616,249
5214,79 ADAMS STREET,ADAMS STREET,644,144
3457,80 ADAMS STREET,ADAMS STREET,678,180
5260,83 ADAMS STREET,ADAMS STREET,582,242
3349,86 ADAMS STREET,ADAMS STREET,581,299
3354,87 ADAMS STREET,ADAMS STREET,691,228
2174,89 ADAMS STREET,ADAMS STREET,639,222
5045,94 ADAMS STREET,ADAMS STREET,660,104
5188,95 ADAMS STREET,ADAMS STREET,686,210
18260,14 ADDISON ROAD,ADDISON ROAD,634,103
18129,15 ADDISON ROAD,ADDISON ROAD,589,70
17928,21 ADDISON ROAD,ADDISON ROAD,693,264
18036,22 ADDISON ROAD,ADDISON ROAD,677,104
17936,27 ADDISON ROAD,ADDISON ROAD,632,143
18123,30 ADDISON ROAD,ADDISON ROAD,559,218
19394,33 ADDISON ROAD,ADDISON ROAD,627,195
19342,36 ADDISON ROAD,ADDISON ROAD,591,161
19282,44 ADDISON ROAD,ADDISON ROAD,623,198
18116,7 ADDISON ROAD,ADDISON ROAD,550,285
22478,15 AGRILLO CIRCLE,AGRILLO CIRCLE,559,184
22360,26 AGRILLO CIRCLE,AGRILLO CIRCLE,633,67
22472,29 AGRILLO CIRCLE,AGRILLO CIRCLE,628,204
22452,36 AGRILLO CIRCLE,AGRILLO CIRCLE,634,210
22377,41 AGRILLO CIRCLE,AGRILLO CIRCLE,625,124
22434,42 AGRILLO CIRCLE,AGRILLO CIRCLE,657,195
22430,46 AGRILLO CIRCLE,AGRILLO CIRCLE,636,84
22460,47 AGRILLO CIRCLE,AGRILLO CIRCLE,622,263
19300,101 ALBEMARLE ROAD,ALBEMARLE ROAD,691,255
16774,109 ALBEMARLE ROAD,ALBEMARLE ROAD,550,164
19404,110 ALBEMARLE ROAD,ALBEMARLE ROAD,634,229
17353,114 ALBEMARLE ROAD,ALBEMARLE ROAD,573,193
16916,115 ALBEMARLE ROAD,ALBEMARLE ROAD,694,287
17383,116 ALBEMARLE ROAD,ALBEMARLE ROAD,659,188
16960,117 ALBEMARLE ROAD,ALBEMARLE ROAD,664,178
16354,12 ALBEMARLE ROAD,ALBEMARLE ROAD,664,229
16616,15 ALBEMARLE ROAD,ALBEMARLE ROAD,604,298
16435,16 ALBEMARLE ROAD,ALBEMARLE ROAD,614,208
16276,17 ALBEMARLE ROAD,ALBEMARLE ROAD,677,206
16563,19 ALBEMARLE ROAD,ALBEMARLE ROAD,562,136
16307,20 ALBEMARLE ROAD,ALBEMARLE ROAD,697,169
16506,23 ALBEMARLE ROAD,ALBEMARLE ROAD,700,159
16488,27 ALBEMARLE ROAD,ALBEMARLE ROAD,596,219
16256,29 ALBEMARLE ROAD,ALBEMARLE ROAD,677,289
16602,30 ALBEMARLE ROAD,ALBEMARLE ROAD,655,66
16618,37 ALBEMARLE ROAD,ALBEMARLE ROAD,580,128
17627,38 ALBEMARLE ROAD,ALBEMARLE ROAD,599,218
17874,45 ALBEMARLE ROAD,ALBEMARLE ROAD,682,77
17700,48 ALBEMARLE ROAD,ALBEMARLE ROAD,577,214
17679,54 ALBEMARLE ROAD,ALBEMARLE ROAD,560,189
17825,58 ALBEMARLE ROAD,ALBEMARLE ROAD,617,282
17789,59 ALBEMARLE ROAD,ALBEMARLE ROAD,552,232
17817,62 ALBEMARLE ROAD,ALBEMARLE ROAD,645,293
17726,63 ALBEMARLE ROAD,ALBEMARLE ROAD,603,78
17723,66 ALBEMARLE ROAD,ALBEMARLE ROAD,593,292
17801,69 ALBEMARLE ROAD,ALBEMARLE ROAD,638,283
17676,70 ALBEMARLE ROAD,ALBEMARLE ROAD,620,195
17599,74 ALBEMARLE ROAD,ALBEMARLE ROAD,615,212
17551,78 ALBEMARLE ROAD,ALBEMARLE ROAD,697,109
17325,79 ALBEMARLE ROAD,ALBEMARLE ROAD,686,103
16505,8 ALBEMARLE ROAD,ALBEMARLE ROAD,684,172
17596,84 ALBEMARLE ROAD,ALBEMARLE ROAD,632,264
16279,9 ALBEMARLE ROAD,ALBEMARLE ROAD,696,226
17422,90 ALBEMARLE ROAD,ALBEMARLE ROAD,613,171
17321,99 ALBEMARLE ROAD,ALBEMARLE ROAD,607,64
642,10 ALBERT STREET,ALBERT STREET,587,206
705,14 ALBERT STREET,ALBERT STREET,658,246
563,15 ALBERT STREET,ALBERT STREET,650,134
487,19 ALBERT STREET,ALBERT STREET,600,248
575,20 ALBERT STREET,ALBERT STREET,671,77
676,23 ALBERT STREET,ALBERT STREET,666,150
569,24 ALBERT STREET,ALBERT STREET,595,146
522,3 ALBERT STREET,ALBERT STREET,607,82
340,34 ALBERT STREET,ALBERT STREET,619,216
316,35 ALBERT STREET,ALBERT STREET,557,80
626,38 ALBERT STREET,ALBERT STREET,601,147
493,44 ALBERT STREET,ALBERT STREET,680,155
532,45 ALBERT STREET,ALBERT STREET,658,264
767,48 ALBERT STREET,ALBERT STREET,634,78
687,49 ALBERT STREET,ALBERT STREET,689,132
732,52 ALBERT STREET,ALBERT STREET,661,118
324,6 ALBERT STREET,ALBERT STREET,630,290
484,9 ALBERT STREET,ALBERT STREET,672,106
3724,101 ALDER STREET,ALDER STREET,665,207
2260,102 ALDER STREET,ALDER STREET,681,259
3692,103 ALDER STREET,ALDER STREET,608,293
2262,104 ALDER STREET,ALDER STREET,682,177
4061,107 ALDER STREET,ALDER STREET,552,121
2130,108 ALDER STREET,ALDER STREET,582,206
4062,109 ALDER STREET,ALDER STREET,652,276
2467,11 ALDER STREET,ALDER STREET,684,263
2392,110 ALDER STREET,ALDER STREET,606,138
3687,111 ALDER STREET,ALDER STREET,641,234
2504,114 ALDER STREET,ALDER STREET,600,145
2503,116 ALDER STREET,ALDER STREET,607,111
4277,117 ALDER STREET,ALDER STREET,699,105
3443,119 ALDER STREET,ALDER STREET,576,247
3442,121 ALDER STREET,ALDER STREET,653,195
2407,13 ALDER STREET,ALDER STREET,561,186
4272,133 ALDER STREET,ALDER STREET,578,187
3759,134 ALDER STREET,ALDER STREET,589,142
4271,135 ALDER STREET,ALDER STREET,583,129
3245,136 ALDER STREET,ALDER STREET,566,91
3575,137 ALDER STREET,ALDER STREET,646,218
3525,139 ALDER STREET,ALDER STREET,594,80
3340,140 ALDER STREET,ALDER STREET,572,204
3527,141 ALDER STREET,ALDER STREET,639,296
4281,144 ALDER STREET,ALDER STREET,626,229
3768,145 ALDER STREET,ALDER STREET,650,298
3344,146 ALDER STREET,ALDER STREET,598,170
3767,147 ALDER STREET,ALDER STREET,640,227
4391,148 ALDER STREET,ALDER STREET,674,146
2444,15 ALDER STREET,ALDER STREET,560,175
4393,150 ALDER STREET,ALDER STREET,570,119
4070,151 ALDER STREET,ALDER STREET,673,218
4346,153 ALDER STREET,ALDER STREET,594,167
4347,155 ALDER STREET,ALDER STREET,580,73
2205,17 ALDER STREET,ALDER STREET,558,225
2047,21 ALDER STREET,ALDER STREET,585,74
2512,27 ALDER STREET,ALDER STREET,698,207
2511,29 ALDER STREET,ALDER STREET,645,142
2408,34 ALDER STREET,ALDER STREET,582,63
2110,42 ALDER STREET,ALDER STREET,632,239
2090,44 ALDER STREET,ALDER STREET,694,77
2089,46 ALDER STREET,ALDER STREET,580,235
2048,47 ALDER STREET,ALDER STREET,670,190
2088,48 ALDER STREET,ALDER STREET,684,261
2482,50 ALDER STREET,ALDER STREET,639,150
2480,52 ALDER STREET,ALDER STREET,669,228
2536,53 ALDER STREET,ALDER STREET,561,93
2483,54 ALDER STREET,ALDER STREET,638,216
2537,55 ALDER STREET,ALDER STREET,661,244
2481,56 ALDER STREET,ALDER STREET,575,74
2085,59 ALDER STREET,ALDER STREET,694,70
2069,60 ALDER STREET,ALDER STREET,645,70
2195,61 ALDER STREET,ALDER STREET,690,226
2188,62 ALDER STREET,ALDER STREET,577,183
2246,65 ALDER STREET,ALDER STREET,663,238
2336,69 ALDER STREET,ALDER STREET,551,286
2445,70 ALDER STREET,ALDER STREET,578,290
2372,74 ALDER STREET,ALDER STREET,611,245
2466,76 ALDER STREET,ALDER STREET,593,258
2425,78 ALDER STREET,ALDER STREET,578,149
2194,79 ALDER STREET,ALDER STREET,664,76
2344,81 ALDER STREET,ALDER STREET,689,126
2212,83 ALDER STREET,ALDER STREET,656,126
2318,84 ALDER STREET,ALDER STREET,596,157
2214,85 ALDER STREET,ALDER STREET,589,195
2145,86 ALDER STREET,ALDER STREET,647,169
2109,88 ALDER STREET,ALDER STREET,670,266
3341,89 ALDER STREET,ALDER STREET,660,66
2086,9 ALDER STREET,ALDER STREET,694,167
2402,90 ALDER STREET,ALDER STREET,638,283
4390,91 ALDER STREET,ALDER STREET,647,259
2375,92 ALDER STREET,ALDER STREET,608,226
3210,93 ALDER STREET,ALDER STREET,675,85
2153,94 ALDER STREET,ALDER STREET,645,73
2298,96 ALDER STREET,ALDER STREET,605,186
3342,97 ALDER STREET,ALDER STREET,610,276
2299,98 ALDER STREET,ALDER STREET,564,115
2394,9R ALDER STREET,ALDER STREET,588,123
17022,15 ALDERWOOD ROAD,ALDERWOOD ROAD,624,282
17502,16 ALDERWOOD ROAD,ALDERWOOD ROAD,617,233
17142,19 ALDERWOOD ROAD,ALDERWOOD ROAD,565,273
17286,25 ALDERWOOD ROAD,ALDERWOOD ROAD,630,75
17195,3 ALDERWOOD ROAD,ALDERWOOD ROAD,660,73
17003,31 ALDERWOOD ROAD,ALDERWOOD ROAD,670,127
17303,34 ALDERWOOD ROAD,ALDERWOOD ROAD,657,201
17088,37 ALDERWOOD ROAD,ALDERWOOD ROAD,692,62
17023,40 ALDERWOOD ROAD,ALDERWOOD ROAD,632,227
16989,41 ALDERWOOD ROAD,ALDERWOOD ROAD,563,284
17051,47 ALDERWOOD ROAD,ALDERWOOD ROAD,555,70
17576,51 ALDERWOOD ROAD,ALDERWOOD ROAD,649,94
17543,57 ALDERWOOD ROAD,ALDERWOOD ROAD,557,98
19138,6 ALDERWOOD ROAD,ALDERWOOD ROAD,609,116
17613,60 ALDERWOOD ROAD,ALDERWOOD ROAD,618,231
17211,63 ALDERWOOD ROAD,ALDERWOOD ROAD,552,203
17442,69 ALDERWOOD ROAD,ALDERWOOD ROAD,661,69
17590,75 ALDERWOOD ROAD,ALDERWOOD ROAD,686,197
16984,9 ALDERWOOD ROAD,ALDERWOOD ROAD,691,240
6703,10 ALLEN ROAD,ALLEN ROAD,554,288
7626,15 ALLEN ROAD,ALLEN ROAD,584,300
7207,16 ALLEN ROAD,ALLEN ROAD,620,134
7448,21 ALLEN ROAD,ALLEN ROAD,611,184
7121,22 ALLEN ROAD,ALLEN ROAD,625,202
7812,27 ALLEN ROAD,ALLEN ROAD,685,207
7810,28 ALLEN ROAD,ALLEN ROAD,614,91
7653,31 ALLEN ROAD,ALLEN ROAD,647,127
5827,4 ALLEN ROAD,ALLEN ROAD,637,278
7766,9 ALLEN ROAD,ALLEN ROAD,606,82
17832,15 AMELIA DRIVE,AMELIA DRIVE,581,180
17713,16 AMELIA DRIVE,AMELIA DRIVE,650,201
17674,25 AMELIA DRIVE,AMELIA DRIVE,695,251
17877,26 AMELIA DRIVE,AMELIA DRIVE,582,200
17673,34 AMELIA DRIVE,AMELIA DRIVE,574,74
17774,35 AMELIA DRIVE,AMELIA DRIVE,636,165
17753,35A AMELIA DRIVE,AMELIA DRIVE,603,92
17689,40 AMELIA DRIVE,AMELIA DRIVE,700,139
17698,5 AMELIA DRIVE,AMELIA DRIVE,673,266
19699,10 AMHERST AVENUE,AMHERST AVENUE,593,149
18285,100 AMHERST AVENUE,AMHERST AVENUE,640,92
18566,101 AMHERST AVENUE,AMHERST AVENUE,601,267
18171,104 AMHERST AVENUE,AMHERST AVENUE,660,134
17933,108 AMHERST AVENUE,AMHERST AVENUE,608,249
19348,110 AMHERST AVENUE,AMHERST AVENUE,679,158
18040,114 AMHERST AVENUE,AMHERST AVENUE,624,183
18170,118 AMHERST AVENUE,AMHERST AVENUE,672,264
20023,12 AMHERST AVENUE,AMHERST AVENUE,670,175
18226,124 AMHERST AVENUE,AMHERST AVENUE,626,83
18182,128 AMHERST AVENUE,AMHERST AVENUE,584,193
18093,129 AMHERST AVENUE,AMHERST AVENUE,676,62
18048,133 AMHERST AVENUE,AMHERST AVENUE,631,109
17938,136 AMHERST AVENUE,AMHERST AVENUE,681,111
17920,139 AMHERST AVENUE,AMHERST AVENUE,600,179
18034,144 AMHERST AVENUE,AMHERST AVENUE,663,258
20034,20 AMHERST AVENUE,AMHERST AVENUE,649,236
19985,21 AMHERST AVENUE,AMHERST AVENUE,604,172
19990,24 AMHERST AVENUE,AMHERST AVENUE,667,299
19716,25 AMHERST AVENUE,AMHERST AVENUE,582,251
19818,26 AMHERST AVENUE,AMHERST AVENUE,696,111
19966,27 AMHERST AVENUE,AMHERST AVENUE,587,85
19728,30 AMHERST AVENUE,AMHERST AVENUE,595,78
19923,33 AMHERST AVENUE,AMHERST AVENUE,673,194
19943,34 AMHERST AVENUE,AMHERST AVENUE,569,199
19864,37 AMHERST AVENUE,AMHERST AVENUE,613,177
18959,40 AMHERST AVENUE,AMHERST AVENUE,679,103
18850,41 AMHERST AVENUE,AMHERST AVENUE,589,176
18996,43 AMHERST AVENUE,AMHERST AVENUE,568,294
18915,44 AMHERST AVENUE,AMHERST AVENUE,639,119
18926,47 AMHERST AVENUE,AMHERST AVENUE,567,60
20059,48 AMHERST AVENUE,AMHERST AVENUE,691,219
18976,50 AMHERST AVENUE,AMHERST AVENUE,570,155
19095,51 AMHERST AVENUE,AMHERST AVENUE,691,217
18813,53 AMHERST AVENUE,AMHERST AVENUE,588,260
19704,6 AMHERST AVENUE,AMHERST AVENUE,575,195
18576,65 AMHERST AVENUE,AMHERST AVENUE,654,198
18747,68 AMHERST AVENUE,AMHERST AVENUE,564,192
17945,71 AMHERST AVENUE,AMHERST AVENUE,565,287
18613,72 AMHERST AVENUE,AMHERST AVENUE,630,137
18022,73 AMHERST AVENUE,AMHERST AVENUE,636,204
18765,74 AMHERST AVENUE,AMHERST AVENUE,699,132
18420,77 AMHERST AVENUE,AMHERST AVENUE,558,78
18353,78 AMHERST AVENUE,AMHERST AVENUE,611,202
19696,8 AMHERST AVENUE,AMHERST AVENUE,653,120
18609,80 AMHERST AVENUE,AMHERST AVENUE,618,266
18533,81 AMHERST AVENUE,AMHERST AVENUE,604,75
18024,85 AMHERST AVENUE,AMHERST AVENUE,621,80
18141,89 AMHERST AVENUE,AMHERST AVENUE,690,126
18327,90 AMHERST AVENUE,AMHERST AVENUE,641,136
18532,91 AMHERST AVENUE,AMHERST AVENUE,653,255
18577,92 AMHERST AVENUE,AMHERST AVENUE,603,272
17901,96 AMHERST AVENUE,AMHERST AVENUE,636,102
17882,97 AMHERST AVENUE,AMHERST AVENUE,578,161
9753,14 AMORY ROAD,AMORY ROAD,610,116
10298,3 AMORY ROAD,AMORY ROAD,670,105
8678,30 AMORY ROAD,AMORY ROAD,557,68
9390,30A AMORY ROAD,AMORY ROAD,660,288
8873,32 AMORY ROAD,AMORY ROAD,657,231
8870,34 AMORY ROAD,AMORY ROAD,589,145
9948,35 AMORY ROAD,AMORY ROAD,639,233
8874,36 AMORY ROAD,AMORY ROAD,668,63
9907,37 AMORY ROAD,AMORY ROAD,655,222
8871,38 AMORY ROAD,AMORY ROAD,581,214
9905,39 AMORY ROAD,AMORY ROAD,643,61
8941,40 AMORY ROAD,AMORY ROAD,628,294
9949,41 AMORY ROAD,AMORY ROAD,668,271
8940,42 AMORY ROAD,AMORY ROAD,582,295
10210,43 AMORY ROAD,AMORY ROAD,559,93
8939,44 AMORY ROAD,AMORY ROAD,626,121
10211,45 AMORY ROAD,AMORY ROAD,603,285
8943,46 AMORY ROAD,AMORY ROAD,598,95
10213,47 AMORY ROAD,AMORY ROAD,636,254
10209,49 AMORY ROAD,AMORY ROAD,587,129
4705,11 ANDREA ROAD,ANDREA ROAD,691,130
4711,17 ANDREA ROAD,ANDREA ROAD,697,157
4587,21 ANDREA ROAD,ANDREA ROAD,598,198
4583,27 ANDREA ROAD,ANDREA ROAD,594,215
6391,30 ANDREA ROAD,ANDREA ROAD,606,296
4533,31 ANDREA ROAD,ANDREA ROAD,583,81
8102,36 ANDREA ROAD,ANDREA ROAD,660,99
4756,37 ANDREA ROAD,ANDREA ROAD,589,236
292,110 ANGLESIDE ROAD,ANGLESIDE ROAD,589,286
359,150 ANGLESIDE ROAD,ANGLESIDE ROAD,643,277
423,164 ANGLESIDE ROAD,ANGLESIDE ROAD,586,76
478,178 ANGLESIDE ROAD,ANGLESIDE ROAD,641,253
713,41 ANGLESIDE ROAD,ANGLESIDE ROAD,551,150
427,43 ANGLESIDE ROAD,ANGLESIDE ROAD,681,201
426,47 ANGLESIDE ROAD,ANGLESIDE ROAD,627,272
724,49 ANGLESIDE ROAD,ANGLESIDE ROAD,580,187
718,53 ANGLESIDE ROAD,ANGLESIDE ROAD,567,171
712,55 ANGLESIDE ROAD,ANGLESIDE ROAD,561,87
14921,23 ANTICO CIRCLE,ANTICO CIRCLE,607,243
14622,36 ANTICO CIRCLE,ANTICO CIRCLE,630,168
9178,11 APPLETON STREET,APPLETON STREET,552,209
10699,12 APPLETON STREET,APPLETON STREET,696,201
11053,16 APPLETON STREET,APPLETON STREET,694,154
8888,19 APPLETON STREET,APPLETON STREET,551,228
11601,2 APPLETON STREET,APPLETON STREET,599,85
9191,22 APPLETON STREET,APPLETON STREET,651,169
10865,23 APPLETON STREET,APPLETON STREET,645,178
8553,27 APPLETON STREET,APPLETON STREET,635,261
8774,30 APPLETON STREET,APPLETON STREET,629,290
9024,34 APPLETON STREET,APPLETON STREET,660,227
10928,37 APPLETON STREET,APPLETON STREET,613,233
10782,40 APPLETON STREET,APPLETON STREET,588,76
22375,12 ARBOR LANE,ARBOR LANE,611,93
22347,15 ARBOR LANE,ARBOR LANE,698,172
22405,20 ARBOR LANE,ARBOR LANE,621,187
22519,28 ARBOR LANE,ARBOR LANE,579,295
22505,41 ARBOR LANE,ARBOR LANE,600,100
22401,5 ARBOR LANE,ARBOR LANE,681,201
22398,6 ARBOR LANE,ARBOR LANE,690,112
16803,11 ARCADIA AVENUE,ARCADIA AVENUE,594,133
16903,12 ARCADIA AVENUE,ARCADIA AVENUE,634,112
